id,listing_url,host_response_rate,host_acceptance_rate,host_picture_url,street,neighbourhood_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,amenities,price,security_deposit,cleaning_fee,extra_people,number_of_reviews,last_review,review_scores_rating,cancellation_policy
12304165,https://www.airbnb.com/rooms/12304165,92%,83%,https://a2.muscache.com/im/users/3713069/profile_pic/1357499550/original.jpg?aki_policy=profile_x_medium,"Newbury Street, Boston, MA 02116, United States",Back Bay,42.34877176,-71.08423396,Apartment,Private room,2,1.5,1,1,Real Bed,"{Internet,""Wireless Internet"",Kitchen,""Pets live on this property"",Dog(s),""Buzzer/Wireless Intercom"",Heating,Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",Essentials,Shampoo,Hangers,""Hair Dryer"",""Laptop Friendly Workspace""}",$105.00,$100.00,$50.00,$10.00,20,2016-08-19,88,moderate
6323935,https://www.airbnb.com/rooms/6323935,100%,95%,https://a0.muscache.com/im/users/31804748/profile_pic/1440097880/original.jpg?aki_policy=profile_x_medium,"Cumberland Street, Boston, MA 02115, United States",Back Bay,42.34402837,-71.08292014,Apartment,Entire home/apt,2,1,1,1,Real Bed,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Buzzer/Wireless Intercom"",Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Safety Card"",""Fire Extinguisher"",Essentials,Shampoo,""24-Hour Check-in"",Hangers,""Hair Dryer"",Iron,""Laptop Friendly Workspace""}",$185.00,,$60.00,$0.00,82,2016-09-01,96,moderate
311240,https://www.airbnb.com/rooms/311240,100%,94%,https://a1.muscache.com/im/users/1600541/profile_pic/1365007871/original.jpg?aki_policy=profile_x_medium,"Beacon St, Boston, MA 02116, United States",Back Bay,42.35262417,-71.08051384,Apartment,Entire home/apt,2,1,0,1,Real Bed,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Buzzer/Wireless Intercom"",Heating,""Laptop Friendly Workspace""}",$175.00,,$160.00,$30.00,92,2016-08-06,90,strict
4603588,https://www.airbnb.com/rooms/4603588,70%,93%,https://a2.muscache.com/im/pictures/c125a294-45fc-4fb8-a451-c8c036271ea8.jpg?aki_policy=profile_x_medium,"Beacon Street, Boston, MA 02116, United States",Back Bay,42.35361439,-71.07957868,Apartment,Entire home/apt,3,1,1,1,Real Bed,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Wheelchair Accessible"",Kitchen,""Elevator in Building"",""Buzzer/Wireless Intercom"",""Family/Kid Friendly"",""Smoke Detector"",""Carbon Monoxide Detector"",Essentials,""translation missing: en.hosting_amenity_49""}",$175.00,"$1,500.00",$150.00,$0.00,5,2016-07-01,93,strict
13090471,https://www.airbnb.com/rooms/13090471,100%,100%,https://a2.muscache.com/im/pictures/7d751cae-152d-4ecd-95a5-b2cfbe4dae13.jpg?aki_policy=profile_x_medium,"Huntington Avenue, Boston, MA 02115, United States",Back Bay,42.34512279,-71.08267393,Apartment,Private room,1,1,1,1,Real Bed,"{Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,Doorman,Gym,""Elevator in Building"",Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""Fire Extinguisher"",""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50""}",$80.00,,,$0.00,1,2016-07-01,100,strict
9993826,https://www.airbnb.com/rooms/9993826,98%,55%,https://a2.muscache.com/im/users/30283594/profile_pic/1427748834/original.jpg?aki_policy=profile_x_medium,"Garrison Street, Boston, MA 02116, United States",Back Bay,42.34593605,-71.07970465,Apartment,Entire home/apt,3,3,1,1,Real Bed,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Elevator in Building"",Heating,""Family/Kid Friendly"",Washer,Dryer,Essentials,Shampoo,""24-Hour Check-in"",""Hair Dryer"",Iron}",$219.00,,$100.00,$0.00,0,,,strict
9993602,https://www.airbnb.com/rooms/9993602,98%,55%,https://a2.muscache.com/im/users/30283594/profile_pic/1427748834/original.jpg?aki_policy=profile_x_medium,"Garrison Street, Boston, MA 02116, United States",Back Bay,42.34640824,-71.07983771,Apartment,Entire home/apt,3,1,1,1,Real Bed,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Elevator in Building"",Heating,""Family/Kid Friendly"",Washer,Dryer,Essentials,Shampoo,""24-Hour Check-in"",""Hair Dryer"",Iron}",$219.00,,$100.00,$0.00,1,2016-04-05,80,strict
10812807,https://www.airbnb.com/rooms/10812807,N/A,N/A,https://a1.muscache.com/im/users/7466486/profile_pic/1415493424/original.jpg?aki_policy=profile_x_medium,"Saint Botolph Street, Boston, MA 02115, United States",Back Bay,42.34216345,-71.08295567,Apartment,Entire home/apt,2,1,1,1,Real Bed,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,Heating,""Smoke Detector"",Essentials,""Hair Dryer"",Iron,""Laptop Friendly Workspace""}",$110.00,$200.00,$50.00,$0.00,0,,,flexible
2915643,https://www.airbnb.com/rooms/2915643,100%,33%,https://a1.muscache.com/im/users/14891491/profile_pic/1398796182/original.jpg?aki_policy=profile_x_medium,"Dartmouth Street, Boston, MA 02116, United States",Back Bay,42.34954061,-71.07848716,Condominium,Entire home/apt,4,1,1,2,Real Bed,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Elevator in Building"",""Buzzer/Wireless Intercom"",Heating,""Family/Kid Friendly"",""Suitable for Events"",Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""Fire Extinguisher"",Essentials}",$289.00,$300.00,$150.00,$40.00,1,2015-07-25,,strict
13466910,https://www.airbnb.com/rooms/13466910,99%,81%,https://a2.muscache.com/im/pictures/b54817f1-c0bd-49db-9a10-306e9450f146.jpg?aki_policy=profile_x_medium,"Newbury Street, Boston, MA 02116, United States",Back Bay,42.34830823,-71.08225851,Apartment,Entire home/apt,6,1.5,2,4,Real Bed,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""Fire Extinguisher"",Essentials,Shampoo,""24-Hour Check-in"",Hangers,""Hair Dryer"",Iron,""Laptop Friendly Workspace""}",$350.00,,,$0.00,1,2016-08-27,100,strict
14670143,https://www.airbnb.com/rooms/14670143,100%,91%,https://a2.muscache.com/im/users/32532791/profile_pic/1430696380/original.jpg?aki_policy=profile_x_medium,"Chandler Street, Boston, MA 02116, United States",Back Bay,42.34731098,-71.07505285,Apartment,Entire home/apt,3,1,1,2,Real Bed,"{TV,Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,Heating,""Smoke Detector"",""Carbon Monoxide Detector"",""Fire Extinguisher"",Hangers,""Hair Dryer"",Iron,""Laptop Friendly Workspace""}",$199.00,,$25.00,$25.00,0,,,strict
5455004,https://www.airbnb.com/rooms/5455004,100%,36%,https://a2.muscache.com/im/pictures/a307956d-b7c2-4402-bd0b-565a42200c8b.jpg?aki_policy=profile_x_medium,"Garrison Street, Boston, MA 02116, United States",Back Bay,42.34519101,-71.07939374,Apartment,Entire home/apt,5,2,2,3,Real Bed,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Free Parking on Premises"",""Elevator in Building"",""Indoor Fireplace"",Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""Fire Extinguisher"",Essentials,Shampoo,""24-Hour Check-in"",Hangers,""Hair Dryer"",Iron,""Laptop Friendly Workspace""}",$232.00,,$136.00,$0.00,22,2016-07-26,92,strict
