id,listing_url,host_response_rate,host_acceptance_rate,host_picture_url,street,neighbourhood_cleansed,latitude,longtitude,property_type,room_type,accomodates,bathrooms,bedrooms,beds,bed_type,price,security_deposit,cleaning_fee,extra_people,number_of_reviews,review_scores_rating,cancellation_policy,wireless_internet,smoke_detector,air_conditioning,heating,cable_tv,washer,dryer,family_kid_friendly,kitchen,free_parking,carbon_monoxide,pets_allowed,essentials,checkin_24hr,lock_on_bedroom_door,pool,hair_dryer,gym,wheelchair_accessible,iron,shampoo,hangers,first_aid_kit,elevator,comments
11759332,https://www.airbnb.com/rooms/11759332,100,94,https://a0.muscache.com/im/users/16186589/profile_pic/1443582037/original.jpg?aki_policy=profile_x_medium,"Samoset Street, Boston, MA 02124, United States",Dorchester,42.29072925,-71.0645636,Apartment,Private room,1,1,1,1,Real Bed,65,500,50,0,0,0,moderate,1,1,0,1,0,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,
14873100,https://www.airbnb.com/rooms/14873100,92,100,https://a0.muscache.com/im/users/26098645/profile_pic/1421337537/original.jpg?aki_policy=profile_x_medium,"Dexter Street, Boston, MA 02127, United States",South Boston,42.33107926,-71.05695659,House,Private room,2,1,1,1,Real Bed,75,0,0,0,0,0,flexible,1,0,1,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,
8188894,https://www.airbnb.com/rooms/8188894,0,0,https://a2.muscache.com/im/users/43195276/profile_pic/1442340266/original.jpg?aki_policy=profile_x_medium,"Marlborough Street, Boston, MA 02116, United States",Back Bay,42.35286944,-71.08313771,Apartment,Entire home/apt,2,1,1,1,Real Bed,400,0,0,0,0,0,flexible,0,0,1,1,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,
5738018,https://www.airbnb.com/rooms/5738018,0,100,https://a0.muscache.com/im/users/7302835/profile_pic/1398718977/original.jpg?aki_policy=profile_x_medium,"Heath Street, Boston, MA 02130, United States",Jamaica Plain,42.32498597,-71.10549496,Apartment,Entire home/apt,4,1,2,1,Real Bed,95,0,0,0,0,0,flexible,1,1,0,1,0,1,1,1,1,0,0,1,1,0,0,0,1,0,0,1,1,1,0,0,
13750763,https://www.airbnb.com/rooms/13750763,0,0,https://a0.muscache.com/im/users/33906096/profile_pic/1432383849/original.jpg?aki_policy=profile_x_medium,"Russell Street, Brookline, MA 02446, United States",Allston,42.34718706,-71.13185997,Apartment,Private room,2,1,1,1,Real Bed,150,0,0,0,0,0,flexible,1,1,0,1,0,0,1,1,0,0,0,0,1,0,1,0,1,0,0,0,1,1,0,0,
13642655,https://www.airbnb.com/rooms/13642655,0,0,https://a2.muscache.com/im/pictures/c21dca22-ca0e-4c5c-acb9-d6f326353d31.jpg?aki_policy=profile_x_medium,"Kelton Street, Boston, MA 02134, United States",Brighton,42.34680686,-71.1374309,Condominium,Private room,1,1,1,1,Real Bed,30,0,0,0,0,0,flexible,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
14823430,https://www.airbnb.com/rooms/14823430,0,0,https://a2.muscache.com/im/pictures/4e879db2-1352-48b7-870f-a21e8d8f1b11.jpg?aki_policy=profile_x_medium,"Brookline, MA, United States",Longwood Medical Area,42.33660222,-71.11522093,Loft,Private room,2,1,1,2,Real Bed,72,0,0,10,0,0,strict,1,1,0,1,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,1,1,1,0,0,
9533193,https://www.airbnb.com/rooms/9533193,0,0,https://a2.muscache.com/im/pictures/3b9e22b7-68cc-4ed4-8c04-2075d2af4096.jpg?aki_policy=profile_x_medium,"Cambridge Street, Boston, MA 02114, United States",Allston,42.36040825,-71.1243859,Apartment,Private room,2,1,1,1,Real Bed,58,0,0,0,0,0,flexible,1,0,1,1,0,1,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,
5867761,https://www.airbnb.com/rooms/5867761,0,0,https://a2.muscache.com/im/pictures/f3de98b7-f675-4088-b91f-42636a50707f.jpg?aki_policy=profile_x_medium,"Union Park Street, Boston, MA 02118, United States",South End,42.34310593,-71.06896985,Apartment,Private room,1,1,1,1,Real Bed,45,0,0,0,0,0,flexible,1,1,1,1,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,
822063,https://www.airbnb.com/rooms/822063,0,0,https://a0.muscache.com/im/users/4142522/profile_pic/1352916925/original.jpg?aki_policy=profile_x_medium,"Salem St, Boston, MA 02113, United States",North End,42.36442861,-71.05601662,Apartment,Shared room,1,0,1,1,Real Bed,35,1000,0,0,0,0,flexible,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
