"Incident-based crime statistics, by detailed violations, Canada, provinces, territories and Census Metropolitan Areas c 1 2 3 4 5 6",,,,,,
Annual,,,,,,
Table: 35-10-0177-01 (formerly CANSIM 252-0051),,,,,,
Release date: 2020-10-29,,,,,,
"Geography: Canada, Province or territory, Census metropolitan area, Census metropolitan area part",,,,,,
,,,,,,
,,"Incident-Based Crime Statistics (rate per 100,000)",,,,
,Youth Criminal Justice Act  [6450],21.03,13.37,11.5,9.14,5.88
,Total other Federal Statutes  [610],0.92,0.18,0.71,0.52,0
,Bankruptcy Act  [6100],0,0,0,0,0
,Income Tax Act  [6150],0,0,0,0,0
,Canada Shipping Act  [6200],0,0.18,0,0,0
,Canada Health Act  [6250],0,0,0,0,0
,Customs Act  [6300],0,0,0,0,0
,Competition Act  [6350],0,0,0,0,0
,Excise Act  [6400],0.18,0,0,0,0
,Total Immigration and Refugee Protection Act  [620] 20,0.37,0,0.53,0.17,0
,Firearms Act  [6550],0,0,0,0.17,0
,National Defence Act  [6560],0,0,0,0,0
,Other federal statutes  [6900],0.37,0,0.18,0.17,0
"Brantford, Ontario [35543] 21 (map)",Total violent Criminal Code violations  [100] 13,"1,270.91","1,326.33","1,300.73","1,340.50","1,261.36"
,Total property crime violations  [200],"3,880.37","4,063.28","3,978.58","4,167.09","3,503.84"
,Total other Criminal Code violations  [300],661.6,896.66,960.37,"1,044.64","1,039.70"
,Total impaired driving  [910] 14 15,109.45,111.91,120.73,114.57,175.72
,Total other Criminal Code traffic violations  [920] 15,82.26,63.55,66.84,101.77,93.19
,Total drug violations  [401],242.61,254.21,239.41,221.73,164.41
,"Possession, cannabis (pre-legalization)  [4140] 16",125.49,119.51,120.05,78.18,0
,"Possession, cocaine  [4120]",26.49,28.32,23.87,33.02,37.94
,"Total, possession, other Controlled Drugs and Substances Act drugs  [410]",36.25,65.63,52.52,71.44,69.89
,"Total cannabis, trafficking, production or distribution (pre-legalization)  [420] 16 17 18",23.01,17.27,12.28,8.09,0
,"Total cocaine, trafficking, production or distribution  [430] 17",18.13,14.51,17.05,12.81,17.31
,"Total other Controlled Drugs and Substances Act drugs, trafficking, production or distribution  [440] 17",13.25,8.98,13.64,16.85,25.29
,"Possession, sale, etc., for use in production of or trafficking in substance  [4590] 18 19",0,0,0,0,0
,Total Cannabis Act  [450] 16,..,..,..,1.35,13.98
,Youth Criminal Justice Act  [6450],47.41,39.38,39.56,36.39,2.66
,Total other Federal Statutes  [610],25.79,24.18,22.51,21.57,13.31
,Bankruptcy Act  [6100],0,0,0,0,0
,Income Tax Act  [6150],0,0.69,0,0,0
,Canada Shipping Act  [6200],0,0,0,0,0
,Canada Health Act  [6250],0,0,0,0,0
,Customs Act  [6300],0,0,0.68,0,0
,Competition Act  [6350],0,0,0,0,0
,Excise Act  [6400],8.37,6.91,6.82,6.74,6.66
,Total Immigration and Refugee Protection Act  [620] 20,0.7,1.38,0,0,0
,Firearms Act  [6550],0.7,0,0,0,3.99
,National Defence Act  [6560],0,0,0,0,0
,Other federal statutes  [6900],16.03,15.2,15.01,14.83,2.66
"Guelph, Ontario [35550] 21 (map)",Total violent Criminal Code violations  [100] 13,692.09,727.05,835.23,883.8,752.26
,Total property crime violations  [200],"2,607.20","3,043.78","3,310.53","3,383.39","3,235.34"
,Total other Criminal Code violations  [300],616.03,663.29,880.83,"1,054.86","1,063.78"
,Total impaired driving  [910] 14 15,115.98,108.47,98.43,100.5,86.61
,Total other Criminal Code traffic violations  [920] 15,33.14,26.38,39.81,62.01,67.05
,Total drug violations  [401],216.14,232.33,251.15,182.46,105.47
,"Possession, cannabis (pre-legalization)  [4140] 16",123.51,144.38,135.35,71.99,0
,"Possession, cocaine  [4120]",11.3,10.99,11.58,7.84,7.68
,"Total, possession, other Controlled Drugs and Substances Act drugs  [410]",57.23,49.11,64.42,70.56,62.16
,"Total cannabis, trafficking, production or distribution (pre-legalization)  [420] 16 17 18",12.05,1.47,11.58,3.56,0
,"Total cocaine, trafficking, production or distribution  [430] 17",2.26,14.66,7.24,8.55,13.97
,"Total other Controlled Drugs and Substances Act drugs, trafficking, production or distribution  [440] 17",9.79,11.73,20.99,17.11,13.27
,"Possession, sale, etc., for use in production of or trafficking in substance  [4590] 18 19",0,0,0,0,0
,Total Cannabis Act  [450] 16,..,..,..,2.85,8.38
,Youth Criminal Justice Act  [6450],14.31,8.06,12.3,7.13,2.1
,Total other Federal Statutes  [610],0.75,0,0,0.71,0
,Bankruptcy Act  [6100],0,0,0,0,0
,Income Tax Act  [6150],0,0,0,0,0
,Canada Shipping Act  [6200],0,0,0,0,0
,Canada Health Act  [6250],0,0,0,0,0
,Customs Act  [6300],0,0,0,0,0
,Competition Act  [6350],0,0,0,0,0
,Excise Act  [6400],0,0,0,0,0
,Total Immigration and Refugee Protection Act  [620] 20,0.75,0,0,0.71,0
,Firearms Act  [6550],0,0,0,0,0
,National Defence Act  [6560],0,0,0,0,0
,Other federal statutes  [6900],0,0,0,0,0
"London, Ontario [35555]",Total violent Criminal Code violations  [100] 13,781.54,797.18,826.54,875.07,838.44
,Total property crime violations  [200],"3,430.72","3,629.18","3,845.38","4,203.07","4,198.77"
,Total other Criminal Code violations  [300],"1,151.85","1,125.56",964.93,890.96,805.22
,Total impaired driving  [910] 14 15,91.58,77.45,77.33,85.58,95.29
,Total other Criminal Code traffic violations  [920] 15,215.95,198.12,203.67,246.84,252.83
,Total drug violations  [401],211.18,180.32,194.29,167.61,98.76
,"Possession, cannabis (pre-legalization)  [4140] 16",87.21,65.91,61.64,39.43,0
,"Possession, cocaine  [4120]",13.11,8.02,10.91,10.28,9.49
,"Total, possession, other Controlled Drugs and Substances Act drugs  [410]",75.49,70.02,69.1,74.18,60.97
,"Total cannabis, trafficking, production or distribution (pre-legalization)  [420] 16 17 18",10.33,9.78,24.5,13.64,0
,"Total cocaine, trafficking, production or distribution  [430] 17",7.15,8.02,9.19,5.79,8.4
,"Total other Controlled Drugs and Substances Act drugs, trafficking, production or distribution  [440] 17",17.48,18.38,18.76,22.05,15.52
,"Possession, sale, etc., for use in production of or trafficking in substance  [4590] 18 19",0.4,0.2,0.19,0,0
,Total Cannabis Act  [450] 16,..,..,..,2.24,4.38
,Youth Criminal Justice Act  [6450],8.74,3.72,4.02,2.43,1.1
,Total other Federal Statutes  [610],9.73,6.65,4.21,5.05,4.56
,Bankruptcy Act  [6100],0,0,0,0,0
,Income Tax Act  [6150],0,0,0,0,0
,Canada Shipping Act  [6200],0,0.2,0,0,0
,Canada Health Act  [6250],0,0,0,0,0
,Customs Act  [6300],0,0.2,0,0.19,0
,Competition Act  [6350],0,0,0,0,0
,Excise Act  [6400],0.2,0,0,0,0
,Total Immigration and Refugee Protection Act  [620] 20,2.98,0.59,0.38,0.19,1.46
,Firearms Act  [6550],1.79,1.96,1.34,1.87,1.46
,National Defence Act  [6560],0,0,0,0,0
,Other federal statutes  [6900],4.77,3.72,2.49,2.8,1.64
"Windsor, Ontario [35559]",Total violent Criminal Code violations  [100] 13,872.49,711.11,706.04,801.41,778.12
,Total property crime violations  [200],"2,998.68","3,058.54","3,277.94","4,001.88","3,769.81"
,Total other Criminal Code violations  [300],529.69,589.36,660.84,741.77,767.68
,Total impaired driving  [910] 14 15,84.81,79.4,73.2,80.86,91.73
,Total other Criminal Code traffic violations  [920] 15,49.1,40.29,31.79,41.86,42.9
,Total drug violations  [401],204.73,224.68,202.98,228.81,290.98
,"Possession, cannabis (pre-legalization)  [4140] 16",37.49,30,22.16,16.92,0
,"Possession, cocaine  [4120]",8.33,5.29,9.92,8.32,8.75
,"Total, possession, other Controlled Drugs and Substances Act drugs  [410]",22.91,26.76,34.7,34.12,41.77
,"Total cannabis, trafficking, production or distribution (pre-legalization)  [420] 16 17 18",83.02,101.46,90.7,103.51,0
,"Total cocaine, trafficking, production or distribution  [430] 17",14.58,15.88,12.54,10.9,15.24
,"Total other Controlled Drugs and Substances Act drugs, trafficking, production or distribution  [440] 17",38.39,45.29,32.66,39.28,38.95
,"Possession, sale, etc., for use in production of or trafficking in substance  [4590] 18 19",0,0,0.29,0,0.28
,Total Cannabis Act  [450] 16,..,..,..,15.77,185.99
,Youth Criminal Justice Act  [6450],4.46,7.65,9.04,3.73,3.39
,Total other Federal Statutes  [610],38.68,37.06,33.83,16.92,30.48
,Bankruptcy Act  [6100],0,0,0,0.29,0
,Income Tax Act  [6150],0,0,0,0,0
,Canada Shipping Act  [6200],26.48,20,20.12,7.45,22.01
,Canada Health Act  [6250],0,0,0,0,0
,Customs Act  [6300],3.27,11.18,4.37,2.58,1.98
,Competition Act  [6350],0,0,0,0,0
,Excise Act  [6400],0.89,0,0.58,0,0.28
,Total Immigration and Refugee Protection Act  [620] 20,1.49,3.53,4.37,3.15,2.26
,Firearms Act  [6550],5.36,2.35,2.92,2.29,2.82
,National Defence Act  [6560],0.3,0,0,0,0
,Other federal statutes  [6900],0.89,0,1.46,1.15,1.13
"Barrie, Ontario [35568] 21 (map)",Total violent Criminal Code violations  [100] 13,713.31,734.46,761.54,753.98,865.68
,Total property crime violations  [200],"2,157.03","2,059.57","1,893.81","2,046.94","2,183.29"
,Total other Criminal Code violations  [300],680.02,721.3,826.31,"1,008.08","1,074.32"
,Total impaired driving  [910] 14 15,139.15,148.34,157.67,134.09,162.98
